coincidences discrepancies reprod_index
7539804 211 0 1
7526636 201 0 1
7566045 202 0 1
7557784 205 0 1
7571731 215 0 1
7539703 208 0 1
7529132 202 0 1
7534959 193 0 1
7530874 198 0 1
7526965 212 0 1
7530856 210 0 1
7529554 197 0 1
7544821 207 0 1
7549188 199 0 1
7532465 206 0 1
7545926 208 0 1
7554875 211 0 1
7536398 213 0 1
7628623 208 0 1
7526205 201 0 1
7539934 209 0 1
7554239 201 0 1
7616757 207 0 1
7530825 211 0 1
7554730 200 0 1
7548559 217 0 1
7527125 207 0 1
7527826 212 0 1
7560862 201 0 1
7543104 200 0 1
7526466 206 0 1
7542559 213 0 1
7539813 192 0 1
7599281 205 0 1
7548329 199 0 1
7629691 202 0 1
7544600 209 0 1
7544698 207 0 1
7575210 208 0 1
7543962 214 0 1
7531014 208 0 1
7551675 210 0 1
7528526 194 0 1
7572419 213 0 1
7526351 221 0 1
7602936 208 0 1
7562989 211 0 1
7526033 203 0 1
7544318 211 0 1
7557217 201 0 1
7574622 200 0 1
7533104 208 0 1
7530482 212 0 1
7540942 204 0 1
7561613 213 0 1
7559350 215 0 1
7549686 208 0 1
7543724 209 0 1
7562531 203 0 1
7530148 209 0 1
7575052 214 0 1
7565692 209 0 1
7574803 201 0 1
7554378 197 0 1
7571027 207 0 1
7540705 198 0 1
7526006 211 0 1
7564946 198 0 1
7526777 191 0 1
7527226 204 0 1
7545715 203 0 1
7615373 201 0 1
7527148 203 0 1
7538749 198 0 1
7566952 201 0 1
7573687 204 0 1
7526513 204 0 1
7532868 196 0 1
7530810 196 0 1
7556097 210 0 1
7527239 193 0 1
7529441 212 0 1
7560046 203 0 1
7566970 204 0 1
7563080 189 0 1
7553294 202 0 1
7573855 210 0 1
7632820 186 0 1
7630879 203 0 1
7560833 214 0 1
7535884 206 0 1
7531447 216 0 1
7528496 212 0 1
7561586 208 0 1
7559347 218 0 1
7554656 207 0 1
7526179 210 0 1
7556936 214 0 1
7538017 208 0 1
7526730 205 0 1
7573387 209 0 1
7601666 200 0 1
7624522 214 0 1
7544697 214 0 1
7531507 212 0 1
7526701 204 0 1
7552394 202 0 1
7525692 197 0 1
7600148 202 0 1
7526889 198 0 1
7527797 191 0 1
7553745 210 0 1
7572142 191 0 1
7526942 200 0 1
7539443 208 0 1
7544613 218 0 1
